IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,下载速度
101.132.172.172,10443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,53 ms,26097 kB/s
45.144.167.223,27125,true,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,148 ms,8904 kB/s
212.80.213.140,31557,true,SIN,TH,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,155 ms,7894 kB/s
84.247.149.242,7443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,260 ms,6141 kB/s
84.247.149.251,7443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,248 ms,5633 kB/s
84.247.146.233,7443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,182 ms,5521 kB/s
84.247.149.248,7443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,281 ms,5176 kB/s
47.236.180.90,8443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,216 ms,4956 kB/s
130.162.133.149,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,257 ms,4159 kB/s
129.154.200.133,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,280 ms,3772 kB/s
64.235.61.162,7000,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,352 ms,3423 kB/s
129.150.50.144,42956,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,350 ms,2758 kB/s
167.172.88.191,993,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,288 ms,2742 kB/s
61.245.11.69,2053,true,SIN,PH,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,359 ms,2736 kB/s
